[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
6.25405e-05 579144 8.19621 3.29275
8.27429e-05 485110 8.3603 3.18051
8.40076e-05 510166 8.96436 2.99488
0.000138401 326135 8.14593 3.27078
0.00010032 428455 8.37754 3.72441
0.000115603 392683 9.16485 4.36973
0.000119719 391451 8.6018 2.92959
0.000168337 313233 9.72466 4.89928
0.000110604 353410 8.53733 3.35462
3.7169e-05 986987 7.82051 3.35942
9.37066e-05 431342 8.63077 3.30295
8.3753e-05 479931 7.85964 2.6483
0.000210523 264581 9.31818 3.93385
0.000130671 345016 8.82352 3.50956
8.5814e-05 451270 8.26004 3.49642
6.00131e-05 750827 8.42735 3.67108
7.89013e-05 567561 8.57224 3.609
7.62767e-05 521087 8.14383 3.13076
0.000114327 390345 8.824 3.50029
0.000124593 362729 8.73999 3.72028
0.000106695 420883 8.3113 2.68623
0.000162785 299157 8.35312 3.31766
0.000148198 332834 8.72863 3.53176
0.000183573 281574 9.27735 3.19638
0.000144384 333193 9.268 3.69531
0.000125932 398746 9.58082 4.06247
0.000143686 323978 8.70025 3.26387
0.000138075 342879 8.50113 3.22664
0.000157938 305618 7.96328 2.74976
0.000163298 334917 9.23132 3.86234
0.000146231 332324 8.73211 3.76767
0.000178785 236688 7.80618 2.65816
0.000125576 378938 8.7361 3.34545
0.000137827 338858 8.47147 3.28186
0.000108363 388907 8.46786 3.22311
9.60555e-05 398245 7.68756 3.57024
8.4343e-05 492323 8.31223 2.76872
0.000183019 280499 9.11146 3.55748
0.000161999 279400 7.95586 3.22849
0.00015123 324703 8.97473 3.6752
8.29055e-05 533398 8.18786 3.81259
6.1185e-05 669922 8.92628 3.6011
5.69088e-05 707746 8.35439 3.13812
0.000115348 354134 7.65683 2.59878
0.000133631 352558 8.13173 2.65969
7.3018e-05 624309 8.36585 3.29605
8.84643e-05 458797 8.67333 2.9084
7.47922e-05 529581 8.38449 2.54172
0.000163576 343565 10.0895 4.03852
0.000193061 277986 8.784 3.002
0.000215692 237426 8.11702 2.80202
0.000160676 329603 8.9929 3.77787
0.000180957 316994 9.95027 4.78541
0.00012739 346397 8.64704 3.80542
6.39646e-05 573766 8.35624 3.85349
0.000114154 407525 9.18157 3.61218
0.000161887 280986 8.44824 4.01766
0.000118007 366657 8.06363 2.56331
6.20965e-05 648377 8.32336 3.07186
0.00011169 423122 8.36294 2.96671
6.65376e-05 632673 9.30422 4.14032
0.000133991 367553 9.4759 4.32413
0.000172296 279234 8.45006 3.0731
9.50756e-05 419990 8.37912 3.60431
0.000128276 354829 9.26715 4.05532
0.000170202 292354 8.31098 3.80182
0.000193935 261458 8.81031 3.3264
0.000189969 303552 10.0359 4.78567
0.000166894 293535 8.74635 3.20549
0.000134653 358937 9.21275 3.43666
0.000112139 389464 8.74086 3.59035
8.81295e-05 525370 8.70207 3.4459
0.000132458 374345 9.01046 3.84813
0.000112226 392726 8.71555 3.55988
7.29834e-05 494191 7.71213 2.64443
0.000122399 393081 9.72719 4.21689
8.23854e-05 533247 8.63356 3.48051
9.11719e-05 465561 8.72789 3.57899
0.000165611 328997 9.29186 3.53992
0.000117717 403945 9.1873 3.43735
0.000109079 362367 8.16504 3.40375
7.31014e-05 576958 8.4728 3.49026
0.000113236 387936 8.37482 3.12273
0.000126298 389495 8.80686 3.52054
5.02688e-05 787627 8.37122 3.46043
0.000109277 370734 8.08067 3.82446
0.000126467 363556 8.3977 2.80828
7.84969e-05 507464 8.70999 3.746
0.000105414 405808 7.76517 2.17254
0.000123411 363564 8.55996 3.67333
0.000152618 332856 8.7116 3.36163
0.000163419 314326 8.81151 3.53071
0.000173935 298543 9.66445 3.62063
0.000146434 293118 8.6019 3.2788
6.63187e-05 556999 7.88552 3.91933
0.000128179 354491 8.96161 3.82521
8.82987e-05 431447 7.79931 2.58156
7.50841e-05 489983 7.84386 2.96819
6.10552e-05 685399 8.63586 3.18212
0.000114141 403613 8.65697 3.38058
5.31353e-05 761241 8.2409 3.18642
0.000133441 331362 8.08302 3.17627
9.19217e-05 501697 8.65083 3.50008
0.000113315 386580 8.68825 2.88694
0.000156083 286524 8.07995 3.15959
0.000103469 407030 8.50367 3.87227
0.000113305 390034 9.0961 3.43272
8.0954e-05 520539 8.56252 3.81436
0.000106749 443008 8.05569 2.24227
